store_id,store_name,address,area,latitude,longitude,priority,avg_visit_duration_min,store_type
S041,Banjara Hills Pharmacy 41,"Plot 139, Banjara Hills, Hyderabad",Banjara Hills,17.406739,78.434117,high,40,Pharmacy
S042,Jubilee Hills Grocery 42,"Plot 105, Jubilee Hills, Hyderabad",Jubilee Hills,17.42152,78.406019,high,16,Grocery
S043,Hitech City Electronics 43,"Plot 109, Hitech City, Hyderabad",Hitech City,17.430977,78.371042,medium,39,Electronics
S044,Kondapur Apparel 44,"Plot 168, Kondapur, Hyderabad",Kondapur,17.474853,78.341767,low,16,Apparel
S045,Gachibowli Hardware 45,"Plot 28, Gachibowli, Hyderabad",Gachibowli,17.422425,78.358029,high,22,Hardware
S046,Madhapur Medical Equipment 46,"Plot 109, Madhapur, Hyderabad",Madhapur,17.435908,78.389445,high,27,Medical Equipment
S047,Kukatpally FMCG Distributor 47,"Plot 20, Kukatpally, Hyderabad",Kukatpally,17.493205,78.414579,medium,45,FMCG Distributor
S048,SR Nagar Auto Parts 48,"Plot 139, SR Nagar, Hyderabad",SR Nagar,17.425716,78.457286,high,15,Auto Parts
S049,Ameerpet Bakery 49,"Plot 43, Ameerpet, Hyderabad",Ameerpet,17.454455,78.462648,medium,41,Bakery
S050,Begumpet Restaurant 50,"Plot 16, Begumpet, Hyderabad",Begumpet,17.441054,78.483686,high,34,Restaurant
S051,Secunderabad Pharmacy 51,"Plot 117, Secunderabad, Hyderabad",Secunderabad,17.419986,78.493917,medium,37,Pharmacy
S052,LB Nagar Grocery 52,"Plot 143, LB Nagar, Hyderabad",LB Nagar,17.357064,78.56062,low,41,Grocery
S053,Mehdipatnam Electronics 53,"Plot 15, Mehdipatnam, Hyderabad",Mehdipatnam,17.379992,78.428668,low,44,Electronics
S054,Tolichowki Apparel 54,"Plot 13, Tolichowki, Hyderabad",Tolichowki,17.385738,78.412244,low,40,Apparel
S055,Manikonda Hardware 55,"Plot 41, Manikonda, Hyderabad",Manikonda,17.402114,78.404109,high,42,Hardware
S056,Nanakramguda Medical Equipment 56,"Plot 153, Nanakramguda, Hyderabad",Nanakramguda,17.408604,78.340433,high,25,Medical Equipment
S057,Shamshabad FMCG Distributor 57,"Plot 146, Shamshabad, Hyderabad",Shamshabad,17.250451,78.446464,high,12,FMCG Distributor
S058,Uppal Auto Parts 58,"Plot 150, Uppal, Hyderabad",Uppal,17.410075,78.556569,low,43,Auto Parts
S059,Dilsukhnagar Bakery 59,"Plot 172, Dilsukhnagar, Hyderabad",Dilsukhnagar,17.361455,78.514531,low,30,Bakery
S060,Attapur Restaurant 60,"Plot 172, Attapur, Hyderabad",Attapur,17.350947,78.428631,low,29,Restaurant
